,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightunit,warehouse,notes
127,和牛肉眼蓋,牛肉眼,萬祥,Beef,,日本,,20230814,,,,,,,380.0,kg,['裕林'],
128,和牛牛柳,牛柳,萬祥,Beef,,日本,,20230814,,,,,,,700.0,kg,['裕林'],
129,和牛牛腩排,牛腩,萬祥,Beef,,日本,,20230814,,,,,,,清,kg,['裕林'],
130,和牛牛胸,,萬祥,Beef,,日本,,20230814,,,,,,,340.0,kg,['裕林'],
131,和牛牛仔骨,牛仔骨,萬祥,Beef,,日本,,20230814,,,,,,,340.0,kg,['裕林'],
132,和牛三角肥牛,肩胛肥牛肉,萬祥,Beef,,日本,,20230814,,,,,,,430.0,kg,['裕林'],
133,和牛上腦,,萬祥,Beef,,日本,,20230814,,,,,,,340.0,kg,['裕林'],
134,和牛牛冧,牛冧,萬祥,Beef,,日本,,20230814,,,,,,,清,kg,['裕林'],
135,和牛針扒,,萬祥,Beef,,日本,,20230814,,,,,,,清,kg,['裕林'],
136,和牛燴扒,,萬祥,Beef,,日本,,20230814,,,,,,,清,kg,['裕林'],
137,和牛尾扒,牛尾,萬祥,Beef,,日本,,20230814,,,,,,,340.0,kg,['裕林'],
138,和牛小肉,,萬祥,Beef,,日本,,20230814,,,,,,,200.0,kg,['裕林'],
140,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,20230822,,,,,,,118.0,lb,['裕林'],
141,抄碼 86M廠 EXCEL CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,20230822,choice,,,,,,105.0,lb,['裕林'],
142,抄碼 245L 廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,,20230822,choice,,,,,,103.0,lb,['光輝1倉'],
143,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,20230822,choice,,,,,,40.0,lb,['裕林'],
144,抄碼 86E廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,20230822,,,,,,,43.5,lb,['裕林'],
145,抄碼 86E廠 EXCEL 肥牛,,萬祥,Beef,抄,美國,excel,20230822,,,,,,,21.0,lb,['裕林'],
147,抄碼 PLENA 3/4牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,20230822,3/4,,,,,,36.0,lb,['裕林'],
148,抄碼 PLENA 4/5牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,20230822,,,,,,,37.0,lb,['裕林'],
149,抄碼 ANGLO 牛冧,牛冧,萬祥,Beef,抄,巴西,,20230822,,,,,,,17.2,lb,['裕林'],
150,抄碼 PLENA 牛冧 5KG+,牛冧,萬祥,Beef,抄,巴西,plena,20230822,,,,,,,17.5,lb,"['光輝1倉', '裕林']",
151,抄碼 GJ 牛冧,牛冧,萬祥,Beef,抄,巴西,,20230822,,,,,,,17.8,lb,['裕林'],
152,抄碼 GJ 牛腩,牛腩,萬祥,Beef,抄,巴西,,20230822,,,,,,,13.3,lb,['裕林'],
153,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,Beef,抄,巴西,,20230822,900+,,,,,,9.3,lb,['裕林'],
154,"抄碼 PLENA 牛舌900G+(直利, 大條)",牛舌,萬祥,Beef,抄,巴西,plena,20230822,900+,直,,,,,9.8,lb,['裕林'],
155,抄碼 RAMAX 西冷3.5KG+,西冷,萬祥,Beef,抄,巴西,,20230822,3.5k+,,,,,,19.8,lb,['裕林'],
156,抄碼 RAMAX 牛柳頭1.5KG+ (直身),牛柳頭,萬祥,Beef,抄,巴西,,20230822,1.5k+,直,,,,,19.8,lb,['裕林'],
158,抄碼 PALMALI 四肉,豬四肉,萬祥,Pork,抄,巴西,,20230822,,,,,,,8.5,lb,['裕林'],
159,抄碼 NOTABLE 四肉,豬四肉,萬祥,Pork,抄,巴西,,20230822,,,,,,,8.5,lb,['裕林'],
160,15KG SEARA 熟豬肚,豬肚,萬祥,Pork,15kg,巴西,,20230822,,,,,,,8.5,lb,['裕林'],
161,抄碼 TONNIES 去皮挑骨豬腩(去軟骨),豬腩挑骨,萬祥,Pork,抄,德國,tonnies,20230822,去軟骨,挑骨,,,,,15.0,lb,['裕林'],
162,25KG 王者至尊梅肉 (靚),豬梅肉,萬祥,Pork,25kg,中國,王者至尊,20230822,,,,,,,58.0,kg,['裕林'],
163,25KG 精品豬肉青(綠字) 200G+,,萬祥,Pork,25kg,中國,,20230822,200+,,,,,,35.0,kg,['裕林'],
164,"20KG 豬寸骨(1KG/包, 啡盒)",,萬祥,Pork,20kg,中國,,20230822,,,,,,,53.0,kg,['裕林'],
166,15KG PIFPAF 雞中翼 35G+(蜂巢層裝),雞中翼,萬祥,Chicken,15kg,巴西,,20230822,層裝,,,,,,11.5,lb,['裕林'],
167,15KG PIFPAF 雞中翼 40G+(蜂巢層裝),雞中翼,萬祥,Chicken,15kg,巴西,,20230822,40+,層裝,,,,,11.5,lb,['裕林'],
168,15KG CASE FARM 鳳爪,鳳爪,萬祥,Chicken,15kg,美國,casefarm,20230822,,,,,,,7.8,lb,['裕林'],
170,15KG 納晨 300+雞扒,雞扒,萬祥,Chicken,15kg,中國,納晨,20230822,300+,,,,,,8.2,lb,['裕林'],
171,12KG 納晨帶皮雞上脾,,萬祥,Chicken,12kg,中國,納晨,20230822,帶皮,,,,,,15.8,kg,"['嘉威倉', '裕林']",
172,12KG 納晨去皮雞上脾,,萬祥,Chicken,12kg,中國,納晨,20230822,,,,,,,18.0,kg,['裕林'],
173,12KG 納晨 去皮雞大胸,雞大胸,萬祥,Chicken,12kg,中國,納晨,20230822,,,,,,,14.5,kg,['裕林'],
174,10KG 納晨 IQF雞小胸,雞柳,萬祥,Chicken,10kg,中國,納晨,20230822,,,,,,,15.3,kg,"['嘉威倉', '裕林']",
175,A4 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,580.0,kg,['裕林'],
176,A5 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,620.0,kg,['裕林'],
177,A5特 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,700.0,kg,['裕林'],
179,A4 和牛肉眼 (細切),牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
180,A4 和牛西冷(細切),西冷,萬祥,Beef,,日本,,20230822,,,,,,,560.0,kg,['裕林'],
181,A5 和牛肉眼(細切),牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,620.0,kg,['裕林'],
182,A5 和牛西冷(細切),西冷,萬祥,Beef,,日本,,20230822,,,,,,,640.0,kg,['裕林'],
183,和牛上腦(細切),,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
184,和牛三角肥牛(細切),肩胛肥牛肉,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
187,A5特 和牛牛柳,牛柳,萬祥,Beef,,日本,,20230822,,,,,,,720.0,kg,['裕林'],
188,A5特 和牛牛冧,牛冧,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
189,A5特 和牛針扒,,萬祥,Beef,,日本,,20230822,,,,,,,360.0,kg,['裕林'],
190,A5特 和牛燴扒,,萬祥,Beef,,日本,,20230822,,,,,,,360.0,kg,['裕林'],
191,A5特 和牛尾扒,牛尾,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
192,和牛三筋(板鍵),,萬祥,Beef,,日本,,20230822,,,,,,,530.0,kg,['裕林'],
193,和牛肉眼蓋,牛肉眼,萬祥,Beef,,日本,,20230822,,,,,,,380.0,kg,['裕林'],
194,和牛牛柳,牛柳,萬祥,Beef,,日本,,20230822,,,,,,,700.0,kg,['裕林'],
195,和牛牛腩排,牛腩,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
196,和牛牛胸,,萬祥,Beef,,日本,,20230822,,,,,,,340.0,kg,['裕林'],
197,和牛牛仔骨,牛仔骨,萬祥,Beef,,日本,,20230822,,,,,,,340.0,kg,['裕林'],
198,和牛三角肥牛,肩胛肥牛肉,萬祥,Beef,,日本,,20230822,,,,,,,430.0,kg,['裕林'],
199,和牛上腦,,萬祥,Beef,,日本,,20230822,,,,,,,340.0,kg,['裕林'],
200,和牛牛冧,牛冧,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
201,和牛針扒,,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
202,和牛燴扒,,萬祥,Beef,,日本,,20230822,,,,,,,清,kg,['裕林'],
203,和牛尾扒,牛尾,萬祥,Beef,,日本,,20230822,,,,,,,340.0,kg,['裕林'],
204,和牛小肉,,萬祥,Beef,,日本,,20230822,,,,,,,200.0,kg,['裕林'],
206,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,20230828,,,,,,,118.0,lb,['裕林'],
207,抄碼 86M廠 EXCEL CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,20230828,choice,,,,,,105.0,lb,['裕林'],
208,抄碼 245L 廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,,20230828,choice,,,,,,105.0,lb,['光輝1倉'],
209,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,20230828,choice,,,,,,42.0,lb,['裕林'],
210,抄碼 86E廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,20230828,,,,,,,45.0,lb,['裕林'],
211,抄碼 86E廠 EXCEL 肥牛,,萬祥,Beef,抄,美國,excel,20230828,,,,,,,21.0,lb,['裕林'],
213,抄碼 PLENA 3/4牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,20230828,3/4,,,,,,36.0,lb,['裕林'],
214,抄碼 PLENA 4/5牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,20230828,,,,,,,37.0,lb,['裕林'],
215,抄碼 ANGLO 牛冧,牛冧,萬祥,Beef,抄,巴西,,20230828,,,,,,,17.2,lb,['裕林'],
216,抄碼 PLENA 牛冧 5KG+,牛冧,萬祥,Beef,抄,巴西,plena,20230828,,,,,,,17.5,lb,"['光輝1倉', '裕林']",
217,抄碼 GJ 牛冧,牛冧,萬祥,Beef,抄,巴西,,20230828,,,,,,,17.8,lb,['裕林'],
218,抄碼 GJ 牛腩,牛腩,萬祥,Beef,抄,巴西,,20230828,,,,,,,13.3,lb,['裕林'],
219,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,Beef,抄,巴西,,20230828,900+,,,,,,9.3,lb,['裕林'],
220,"抄碼 PLENA 牛舌900G+(直利, 大條)",牛舌,萬祥,Beef,抄,巴西,plena,20230828,900+,直,,,,,9.8,lb,['裕林'],
221,抄碼 RAMAX 西冷3.5KG+,西冷,萬祥,Beef,抄,巴西,,20230828,3.5k+,,,,,,19.8,lb,['裕林'],
222,抄碼 RAMAX 牛柳頭1.5KG+ (直身),牛柳頭,萬祥,Beef,抄,巴西,,20230828,1.5k+,直,,,,,19.8,lb,['裕林'],
224,抄碼 PALMALI 四肉,豬四肉,萬祥,Pork,抄,巴西,,20230828,,,,,,,8.5,lb,['裕林'],
225,15KG SEARA 熟豬肚,豬肚,萬祥,Pork,15kg,巴西,,20230828,,,,,,,8.5,lb,['裕林'],
226,抄碼 TONNIES 去皮挑骨豬腩(去軟骨),豬腩挑骨,萬祥,Pork,抄,德國,tonnies,20230828,去軟骨,挑骨,,,,,15.0,lb,['裕林'],
227,"抄碼 CDI 帶皮片骨豬腩(厚身,不肥)",,萬祥,Pork,抄,阿根廷,,20230828,帶皮,,,,,,11.2,lb,['裕林'],
228,A4 和牛西冷,西冷,萬祥,Beef,,日本,,20230828,,,,,,,清,kg,['裕林'],
229,A5 和牛西冷,西冷,萬祥,Beef,,日本,,20230828,,,,,,,640.0,kg,['裕林'],
230,A5特 和牛西冷,西冷,萬祥,Beef,,日本,,20230828,,,,,,,720.0,kg,['裕林'],
232,A3 和牛肉眼,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,清,kg,['裕林'],
233,A4 和牛肉眼,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,清,kg,['裕林'],
234,A5 和牛肉眼,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,620.0,kg,['裕林'],
235,A5特 和牛肉眼,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,680.0,kg,['裕林'],
237,A3 和牛帶蓋肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,460.0,kg,['裕林'],
238,A4 和牛帶蓋肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,500.0,kg,['裕林'],
239,A5 和牛帶蓋肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,540.0,kg,['裕林'],
241,A3 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,540.0,kg,['裕林'],
242,A4 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,580.0,kg,['裕林'],
243,A5特 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,700.0,kg,['裕林'],
245,A4 和牛肉眼 (細切),牛肉眼,萬祥,Beef,,日本,,20230828,,,,,,,清,kg,['裕林'],
